index,shot_id,question,subtitles,shot_descs,label
5270,s02e05_01,What was the unexpected thing that happen when Joey and Chandler meet Rachel ?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5271,s02e05_01,What happens at the time of conversation between Rachel and Monica ?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5272,s02e05_01,What happen at the time when  Ross and Chandler was in home ?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5273,s02e05_01,What did Ross and Chandler do while they in home ?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5274,s02e05_01,What does Chandler say when he answers the phone?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5275,s02e05_01,What attitude does Ross have?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5276,s02e05_01,What is Ross doing while Chandler is on the phone?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5277,s02e05_01,Why does Jade call?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5278,s02e05_01,Who is wrestling on television?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5279,s02e05_01,Who is coming up to Ross and talking about wrestling?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
5280,s02e05_01,What happened after the phone rang?,"Ross : Man, I sure miss Julie. Chandler : Spanish midgets. Chandler : Spanish midgets wrestling... Chandler : Julie. Okay, yes, I see how you got there. Ross : You ever figure out what that thing's for? Chandler : No, see, I'm trying this screening thing. Chandler : I figure if I always answer the phone, people will think I don't have a life. Chandler : My God. Rodrigo never gets pinned. Joey : Here comes the beep. You know what to do. None : Hello. I'm looking for Bob. None : This is Jade. None : I don't know if you're still at this number, but I was just thinking about us... None : ...and how great it was, and, well, I know it's been three years... None : ...but I was kind of hoping we could hook up again. None : You know, I barely had the nerve to make this call... None : ...so you know what I did? Ross : What? None : I got a little drunk... None : ...and naked. Chandler : Bob here.",Midget wrestling is on television. Ross states he misses Julie. Chandler is commenting on Ross watching television. At the time when Rachel had a conversation with Monica  she cannot control her smile . Joey and Chandler get a coffee made by Rachel for the first time in her whole life . Chandler is on the phone and turns to look at Ross with a funny look on his face.,1
